reason: unexpected exit code -6
--- stdout ---
CHENEY GENERATOR!
--- stderr ---
alloc_pos 8
alloc_pos 1040
alloc_pos 2072
alloc_pos 3104
alloc_pos 3368
alloc_pos 3424
alloc_pos 3592
alloc_pos 3832
alloc_pos 4060
alloc_pos 4276
alloc_pos 4316
alloc_pos 4404
alloc_pos 4456
alloc_pos 4604
alloc_pos 4820
alloc_pos 4956
alloc_pos 5100
alloc_pos 5288
alloc_pos 5408
alloc_pos 5632
alloc_pos 5708
alloc_pos 5756
alloc_pos 5904
alloc_pos 5932
alloc_pos 6184
alloc_pos 6420
alloc_pos 6540
alloc_pos 6672
alloc_pos 6848
alloc_pos 7064
alloc_pos 7284
alloc_pos 7308
alloc_pos 7508
alloc_pos 7644
alloc_pos 7736
alloc_pos 7944
alloc_pos 8172
alloc_pos 8252
alloc_pos 8424
alloc_pos 8688
alloc_pos 8736
alloc_pos 8988
alloc_pos 9092
alloc_pos 9120
alloc_pos 9148
alloc_pos 9176
alloc_pos 9364
alloc_pos 9524
alloc_pos 9548
alloc_pos 9812
alloc_pos 10060
alloc_pos 10180
alloc_pos 10376
alloc_pos 10452
alloc_pos 10584
alloc_pos 10792
alloc_pos 10820
alloc_pos 10976
alloc_pos 11056
alloc_pos 11272
alloc_pos 11408
alloc_pos 11672
alloc_pos 11820
alloc_pos 11984
alloc_pos 12064
alloc_pos 12176
alloc_pos 12256
alloc_pos 12452
alloc_pos 12532
alloc_pos 12748
alloc_pos 12888
alloc_pos 13152
alloc_pos 13248
alloc_pos 13508
alloc_pos 13536
alloc_pos 13664
alloc_pos 13900
alloc_pos 14156
alloc_pos 14320
alloc_pos 14580
alloc_pos 14768
alloc_pos 14816
alloc_pos 14884
alloc_pos 15068
alloc_pos 15276
alloc_pos 15520
alloc_pos 15616
alloc_pos 15668
alloc_pos 15880
alloc_pos 15988
alloc_pos -1

